Ridgeview Family Restaurant,"[[[43.1965424], [-77.594131]], [[43.1964588], [-77.5941263]], [[43.1964639], [-77.5939546]], [[43.1964441], [-77.5939535]], [[43.1964468], [-77.5938598]], [[43.196469], [-77.5938611]], [[43.1964699], [-77.593832]], [[43.196579], [-77.5938381]], [[43.1965712], [-77.5941025]], [[43.1965433], [-77.5941009]], [[43.1965424], [-77.594131]]]"
Irondequoit Pediatrics,"[[[43.1961293], [-77.5966241]], [[43.1960365], [-77.5966183]], [[43.195896], [-77.5966133]], [[43.1959032], [-77.5963143]], [[43.1961477], [-77.5963254]], [[43.1961468], [-77.5963651]], [[43.1961644], [-77.5963659]], [[43.1961626], [-77.5964409]], [[43.1961337], [-77.5964396]], [[43.1961293], [-77.5966241]]]"
Pep Boys Auto Parts & Service,"[[[43.1961021], [-77.5985027]], [[43.19568], [-77.5984144]], [[43.1956965], [-77.5982656]], [[43.195651], [-77.5982561]], [[43.1956834], [-77.5979645]], [[43.1961511], [-77.5980624]], [[43.1961021], [-77.5985027]]]"
Ice Cream World,"[[[43.1959855], [-77.5991061]], [[43.1957244], [-77.5990543]], [[43.1957351], [-77.5989547]], [[43.1959909], [-77.5990048]], [[43.195996], [-77.5990068]], [[43.1959855], [-77.5991061]]]"
GameStop,"[[[43.195998], [-77.5989372]], [[43.1957443], [-77.5988849]], [[43.1957351], [-77.5989547]], [[43.1959909], [-77.5990048]], [[43.195998], [-77.5989372]]]"
Subway,"[[[43.195749], [-77.5988322]], [[43.1957443], [-77.5988849]], [[43.195998], [-77.5989372]], [[43.1960043], [-77.5989385]], [[43.1960101], [-77.5988846]], [[43.195749], [-77.5988322]]]"
Sprint,"[[[43.1960101], [-77.5988846]], [[43.1960248], [-77.5987472]], [[43.1957637], [-77.5986948]], [[43.195749], [-77.5988322]], [[43.1960101], [-77.5988846]]]"
Rite Aid,"[[[43.2102992], [-77.600487]], [[43.2099385], [-77.6004755]], [[43.2099392], [-77.6004357]], [[43.2098917], [-77.6004342]], [[43.2098931], [-77.60035]], [[43.2099477], [-77.6003518]], [[43.2099509], [-77.6001627]], [[43.2103045], [-77.600174]], [[43.2102992], [-77.600487]]]"
Imaginarium,"[[[43.2100007], [-77.5981291]], [[43.2100058], [-77.5979401]], [[43.2102221], [-77.5979511]], [[43.2102169], [-77.5981401]], [[43.2100007], [-77.5981291]]]"
Aldi,"[[[43.2090198], [-77.6004163]], [[43.208767], [-77.600403]], [[43.2087985], [-77.5995259]], [[43.2089003], [-77.5995361]], [[43.2089077], [-77.5995066]], [[43.2089924], [-77.5995463]], [[43.2090055], [-77.5994947]], [[43.209019], [-77.5994415]], [[43.2090533], [-77.5994425]], [[43.2090198], [-77.6004163]]]"
Dunkin' Donuts,"[[[43.1942448], [-77.6110454]], [[43.1941473], [-77.6110214]], [[43.1941736], [-77.6108201]], [[43.1942884], [-77.6108483]], [[43.1942695], [-77.6109927]], [[43.1942523], [-77.6109884]], [[43.1942448], [-77.6110454]]]"
Reliant Community Credit Union,"[[[43.2103899], [-77.6000072]], [[43.2101446], [-77.5999924]], [[43.2101504], [-77.5998105]], [[43.2102818], [-77.5998184]], [[43.2102842], [-77.5997441]], [[43.2103412], [-77.5997469]], [[43.2103387], [-77.5998256]], [[43.2103956], [-77.599829]], [[43.2103899], [-77.6000072]]]"
Cam's Pizzeria,"[[[43.2105673], [-77.5974684]], [[43.2104593], [-77.5974609]], [[43.2104698], [-77.5971767]], [[43.2105778], [-77.5971843]], [[43.2105673], [-77.5974684]]]"
Walgreens,"[[[43.1968522], [-77.599788]], [[43.1966274], [-77.5997785]], [[43.1965752], [-77.5997005]], [[43.1965922], [-77.5993169]], [[43.1968585], [-77.5993314]], [[43.1968522], [-77.599788]]]"
49 Heberton Road,"[[[43.198179], [-77.5659409]], [[43.1981815], [-77.5658947]], [[43.1981566], [-77.5658922]], [[43.1981604], [-77.5658186]], [[43.1980398], [-77.5658066]], [[43.1980335], [-77.5659264]], [[43.198179], [-77.5659409]]]"
7-Eleven,"[[[43.1942536], [-77.6117315]], [[43.1942571], [-77.6115792]], [[43.1940356], [-77.6115697]], [[43.1940321], [-77.611722]], [[43.1942536], [-77.6117315]]]"
Portland Avenue Garage,"[[[43.192987], [-77.5866805]], [[43.1932249], [-77.58638]], [[43.1936596], [-77.5858469]], [[43.1935069], [-77.5856185]], [[43.1933754], [-77.5854219]], [[43.1932315], [-77.5852069]], [[43.1928887], [-77.585631]], [[43.1925606], [-77.5860263]], [[43.1925931], [-77.586077]], [[43.192987], [-77.5866805]]]"
McDonald's,"[[[43.1956949], [-77.6006219]], [[43.195368], [-77.6006024]], [[43.1953745], [-77.6003976]], [[43.1957014], [-77.6004171]], [[43.1956949], [-77.6006219]]]"
Burger King,"[[[43.1954203], [-77.6013402]], [[43.1952334], [-77.6013302]], [[43.1952399], [-77.601103]], [[43.1954268], [-77.601113]], [[43.1954203], [-77.6013402]]]"
Salvatore's Old Fashioned Pizzeria,"[[[43.1934382], [-77.6142642]], [[43.1930887], [-77.6140832]], [[43.1930565], [-77.6141993]], [[43.1934039], [-77.6143742]], [[43.1934382], [-77.6142642]]]"
Sonic,"[[[43.196817], [-77.590759]], [[43.1967377], [-77.590753]], [[43.1967518], [-77.5904016]], [[43.1968311], [-77.5904076]], [[43.196817], [-77.590759]]]"
Panera Bread,"[[[43.1968095], [-77.5898931]], [[43.1966378], [-77.5898792]], [[43.196654], [-77.5895024]], [[43.1968257], [-77.5895163]], [[43.1968095], [-77.5898931]]]"
Oakview School,"[[[43.2126896], [-77.584539]], [[43.2125844], [-77.5845351]], [[43.2125765], [-77.5849445]], [[43.2124253], [-77.584939]], [[43.2124224], [-77.5850909]], [[43.2125744], [-77.5850965]], [[43.2125707], [-77.5852866]], [[43.2126432], [-77.5852892]], [[43.2126724], [-77.5852493]], [[43.212674], [-77.5851683]], [[43.2127455], [-77.5851709]], [[43.2127484], [-77.5850203]], [[43.212681], [-77.5850179]], [[43.2126816], [-77.5849839]], [[43.2128277], [-77.5849892]], [[43.2128307], [-77.5848344]], [[43.212684], [-77.5848291]], [[43.2126896], [-77.584539]]]"
